w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
41;0;0;0;0;0;0;0;0;0;0;
42;0;0;0;0;0;0;0;0;0;0;
43;0;0;0;0;0;0;0;0;0;0;
44;0.436;0;0;0;0;0;0;0;0;0;
45;0;0;0;0;0;0;0;0;0;0;
46;0.328;0;0;0;2.78;0;0;0;0;1.105;
47;0;0;0;0;0.523;0;0;0;0;0;
48;0;0;0;0;0;0;0;0;0;0;
49;0;0;0;0;0;0;0;0;0;0;
50;0;0;0;0;0;0;0;0;0;0;
51;0;0;0;0;0;0;0;0;0;0;
52;0;0;0;0;0;0;0;0;0;0.833;
