w   S1      S10     S2      S3    S4    S5      S6      S7    S8  S9   
31   0       0.349   0.264   0.354   0   0       0.405   0.253   0.337   0
32   0       1.483   0.269   0.283   0   0       0.256   0.182   0.229   0
33   0.223   0       0.336   0.224   0   0       0.215   0.3     0.119   0
34   0       0       0.132   0.186   0   0       0.132   0.103   4.988   0
35   0.197   0       0.15    0.135   0   0       0.636   0.3     0       0
36   0.167   0       0.062   0.666   0   0       0       0       0       0
37   0.038   0       0       0       0   0       0       0       0       0
38   0.083   0       0.026   0       0   0       0       0       0       0
39   0.157   0       0.074   0       0   0       0       0.064   0       0
40   0.106   0       0.048   0       0   0       0.062   0.027   0       0
41   0.143   0       0.182   0       0   0       0.12    2.036   0       0
42   0.151   0       0.362   0       0   0       1.057   0.313   0       0
43   0.073   0       0       0.177   0   0       0       0       0       0
44   0       0.268   0.311   0.557   0   0       0       0.833   0       0
45   0       0.227   1.726   0       0   0       0       0       0       0
46   0       0.131   1.483   0       0   0       0.257   0       0       0
47   2.823   2.635   0       2.973   0   0       2.719   0       0       0
48   0       0       0       0       0   2.495   0       0       0       0
49   0       0       0       0       0   0       0       0       0       0
50   0       0       0       0       0   0       0       0.562   0       0
51   0       0       0       0       0   0       0       0.724   0       0
52   0.705   0.734   0.668   0.715   0   0.765   0.805   0.875   0.743   0
